entry_date,origin_countries,target_countries,start_date,end_date,announced_date,budget_usd,fb_accounts,fb_pages,fb_pages_followers,fb_groups,fb_groups_followers,Events,ig_accounts,ig_followers,affiliation,keywords,description,source,url
11/10/2019,Myanmar,Myanmar,,,10/15/2018,,10,13,"1,350,000",0,0,,0,0,Myanmar military,"News, Entertainment, Beauty, Lifestyle","News, entertainment, beauty and lifestyle",New York Times and FB internal investigation,https://newsroom.fb.com/news/2018/08/removing-myanmar-officials/
11/10/2019,Iran,"USA, UK",Jun-16,Jan-18,10/26/2018,100,33,30,"1,020,000",3,"25,000",7,16,"28,000",,"Racism, President, Immigration","Race relations, opposition to the President, and immigration",FB internal investigation,https://newsroom.fb.com/news/2018/10/coordinated-inauthentic-behavior-takedown/
11/10/2019,Myanmar,Myanmar,,,08/28/2018,,135,425,"12,000,000",17,"6,400",,15,"1,300",Myanmar military,"News, Entertainment, Beauty, Lifestyle","News, entertainment, beauty and lifestyle",FB internal investigation,https://newsroom.fb.com/news/2018/08/removing-myanmar-officials/
11/06/2019,Iran,"Middle East, the UK, US",Jan-15,Aug-18,08/21/2018,"6,000",70,74,"155,000",3,"2,300",3,76,"48,000","“Liberty Front Press,”",News,Domestic news,"FireEye, and internal investigation",https://newsroom.fb.com/news/2018/08/more-coordinated-inauthentic-behavior/
11/06/2019,Iran,"Middle East, the UK, US",2016,,08/21/2018,,66,12,"15,000",0,0,,9,"1,100",“Liberty Front Press”,"Cybersecurity, Malware","Cybersecurity attacks, including attempts to hack people’s accounts and spread malware",Internal investigation,https://newsroom.fb.com/news/2018/08/more-coordinated-inauthentic-behavior/
11/06/2019,Iran,"Middle East, the UK, US",Jul-12,Apr-18,08/21/2018,"6,000",140,168,"813,000",0,0,25,31,"10,000",“Liberty Front Press”,"Middle East, UK, USA","Politics in the Middle East, UK and US",Internal investigation,https://newsroom.fb.com/news/2018/08/more-coordinated-inauthentic-behavior/
11/06/2019,Unidentified,Various,Apr-17,Jun-18,07/31/2018,"11,000",17,8,"290,000",0,0,30,7,0,,,,Atlantic Council’s Digital Forensic Research Lab,https://newsroom.fb.com/news/2018/07/removing-bad-actors-on-facebook/
01/25/2020,Philippines,Philippines,,,01/10/2019,,73,220,"43,000,000",0,0,0,29,,"Twinmark Media Enterprises ",Clickbait,"Use of fake accounts, leading people to ad farms, and selling access to Facebook Pages to artificially increase distribution and generate profit.","FB internal investigation ",https://about.fb.com/news/2019/01/banning-twinmark-media-enterprises/
02/13/2020,Russia,Ukraine,,,02/12/2020,,78,11,500,29,"6,150",,4,100,,"News, Russia, Military, Ukraine, Syria, Crimea, Malaysian Airlines","Local and political news including public figures in Ukraine, Russian military engagement in Syria, alleged SBU leaks related to ethnic tensions in Crimea and the downing of the Malaysian airliner in Ukraine in 2014",FB internal investigation,https://about.fb.com/news/2020/02/removing-coordinated-inauthentic-behavior/
02/13/2020,Iran,US,,,02/12/2020,,6,,,,,,5,60,,"USA, Elections, News, Christianity, Immigration, Iran, Public Figures, Academics","Posts about political news and geopolitics including topics like the US elections, Christianity, US-Iran relations, US immigration policy, criticism of US policies in the Middle East and public figures as well as video interviews with academics, public figures and columnists on issues related to Iran and US elections.",FB internal investigation,https://about.fb.com/news/2020/02/removing-coordinated-inauthentic-behavior/
02/13/2020,"Myanmar, Vietnam",Myanmar,,,02/12/2020,"1,155,000",13,10,"265,600",,,,,,"Mytel in Myanmar and Viettel in Vietnam, and Gapit Communications, a PR firm in Vietnam",Telecommunication,Posts about telecom companies and fake customers of some of the telecom providers in Myanmar posting critical commentary about those companies and their services,FB internal investigation,https://about.fb.com/news/2020/02/removing-coordinated-inauthentic-behavior/
03/03/2020,India,"The Gulf, USA, UK, Canada",,,03/02/2020,450,37,32,"29,000","1,100",,,42,"74,000",aRep Global,"Yemen, War, Saudi Arabia, UAE, Qatar, Sports","Saudi Arabia’s role in the Yemen conflict, the UAE and Saudi Arabia’s human rights, record, criticism of Manchester City, the Premier League soccer team, and praise for sporting events in Qatar",FB internal investigation,https://about.fb.com/news/2020/03/february-cib-report/
03/03/2020,Egypt,"Middle East, North Africa",,,03/02/2020,"48,500",333,195,"6,200,000",9,"3,800",,1194,"305,900","New Waves, and Flexell","Qatar, Public Figures, Turkey, Libya, UAE, Iraq, Iran, Yemen, Al-Jazeera","Local news, support of terrorism by Qatar, Turkey and the Tripoli-based Government of National Accord and positive commentary about UAE and its humanitarian activity in Yemen. Also war in Libya, the killing of Qassim Suleimani and Qatar’s alleged role in it, the recent protests in Iran, the alleged spread of diseases in Qatar, criticism of Al Jazeera, migrant workers’ rights in Qatar, women’s rights in Turkey, protests in Iraq",FB internal investigation,https://about.fb.com/news/2020/03/february-cib-report/
05/06/2020,Russia,"Ukraine, Various",,,05/05/2020,"3,150",91,46,"267,300",2,"2,100",,1,800,"Crimea media companies NewsFront, and SouthFront","Ukraine, Syria, Crimea, NATO, Elections, USA, Coronavirus","This network posted about geopolitical and local news including topics such as the military conflict in Ukraine, the Syrian civil war, the annexation of Crimea, NATO, US elections, and more recently the coronavirus pandemic.",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,Iran,"Algeria, Bangladesh, Bosnia, Egypt, Ghana, Libya, Mauritania, Morocco, Nigeria, Senegal, Sierra Leone, Somalia, Sudan, Tanzania, Tunisia, USA, UK, Zimbabwe",,,05/05/2020,"1,600",389,118,"318,000",27,"67,000",,6,"135,000",The Islamic Republic of Iran Broadcasting Corporation,"Syria, Arab Spring, News, Libya, Turkey, Elections, Saudi Arabia, Al Qaeda in Africa, USA, The Occupy Movement","Posted about the Arab Spring protests, the tensions between Libya and Turkey, criticism of Saudi involvement in the Middle East and Africa, Al Qaeda’s actions in Africa, the Occupy movement in the US, criticism of US policies in the Middle East and the 2012 US elections.",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,USA,USA,,,05/05/2020,1,20,5,"133,000",6,"30,000",,0,,QAnon,"Elections, Conspiracy Theories, Coronavirus","Posted about news and topics including the upcoming presidential election and candidates, the current US administration, anti-Semitic and anti-Asian conspiracies, and COVID-19. While it did not appear to be the focus of this campaign, some of the individuals behind this effort attempted to monetize their clickbait content by selling t-shirts and other merchandise",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,USA,USA,,,05/05/2020,"114,000",15,19,"207,700",1,20,,0,,"VDARE, a website known for posting anti-immigration content, and The Unz Review","Elections, News, Trump, Anti-immigration, Far-right, Asian-Americans, Coronavirus, Conspiracy Theories","They frequently posted about US news and topics including the US President, ideologies recognized as far-right, and anti-immigration content. Most recently, this network shared COVID-19-related conspiracies and hate speech about Asian Americans",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,Mauritania,Mauritania,,,05/05/2020,190,75,11,"62,500",,,,90,"25,000",,"Libya, Yemen, Qatar, Turkey, Iran, UAE, Coronavirus","They posted primarily in Arabic and some in English and French about domestic and regional news and topics including the civil wars in Libya and Yemen, criticism of Qatar, Turkey and Iran, Qatar’s treatment of migrant workers, as well as support for the president of Mauritania and the United Arab Emirates. They also posted about the Coronavirus pandemic",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,Myanmar,Myanmar,,,05/05/2020,20,18,3,"19,000",1,30,,,,Myanmar Police Force,"Rohingya, Military, Coronavirus, News","The Page admins and account owners shared content primarily in Burmese about local news and events such as the successes of the national police and military, stories about police officers providing assistance to local families, arrests and police raids, criticism of the Arakan Army and anti-Rohingya content. Also posted about the Coronavirus pandemic",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,Georgia,Georgia,,,05/05/2020,"30,000",101,511,"973,000",122,"1,508, 000",,56,"26,000","Espersona, a media firm in Georgia","News, Elections, Coronavirus","Posted about domestic news and political issues such as elections, government policies and officials, as well as criticism of the opposition, journalists and local activists. Most recently, this network shared some content about COVID-19",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
05/06/2020,Georgia,Georgia,,,05/05/2020,"23,800",23,80,"785,000",41,"6,300",22,9,"6,400","United National Movement, a political party in Georgia","Religion, News, Elections, Coronavirus","Posted about local news and political topics like the 2018 Georgian elections and candidates, Georgian Orthodox Church, criticism of the ruling party and the government’s handling of the coronavirus pandemic",FB internal investigation,https://about.fb.com/news/2020/05/april-cib-report/
"","","","","","","","","","","","","","","","","","","",""
