hashtags,count
PoliticsLive,17
HumanRightsViolations,17
PrayForAustralia,17
stopracism,17
angelsports,17
PureAugust,17
blacksinhistory,16
OdessaShooting,16
tuesdayMotivation,16
GRAMMYs,16
regular,16
China,16
FridayMorning,16
sports,16
BlackHistory2020,16
BHM,16
sustainability,16
TEAMFREE,16
blacklivesmatters,16
truth,16
whyisthat,16
LGBTRIGHTSGHANA,16
loveall,16
homosexuality,16
MLKDay,16
africanamerican,16
HumanRightsDay,15
blackexellence,15
2019in5words,15
Topbuzz,15
letlovelead,15
starboyfest,15
samuelljackson,15
teamfollowback,15
BBCAfricaneye,15
cleartheliststexas,15
problack,15
advocacy,15
JoshuaBrown,15
ClimateAction,15
MeToo,15
RacistPresident,15
BlackMamba,15
coronarvirus,15
policebruity,15
everymindmatters,15
crot,15
BlackWomen,15
brownface,15
WonderBoy,15
blackkids,14
AfricanGiant,14
Grammys,14
HurricaneDorian,14
TrumpGenocide,14
StandUp4HumanRights,14
AGEGE,14
WomensMonth,14
Nigerians,14
obama,14
shutup,14
YoongiWeLoveYou,14
CoPASH,14
genderequity,14
WhenTheySeeUs,14
Humanity,14
blacknews102,14
follow,14
LGBTI,14
CardiB,14
healthcare,14
BlackSwanLive,14
school,14
SayNoToXenophobicAttacks,14
khafi,14
WorldSeries,14
f4f,14
Texas,14
Concern,14
ChooseDay,14
china,14
girldad,14
BlackStars,14
followme,14
healthy,13
heatwave,13
legend,13
HumanityFirst,13
justiceforchinedu,13
stoppolicebrutality,13
SouthAfricans,13
Empawa30,13
ThursdayThought,13
Christmas,13
roomtoimprove,13
news,13
homophobia,13
WCF,13
blackwomen,13
jumatpuisi,13
whites,13
Lucky,13
ElPasoShooting,13
englishpremierleague,13
BlackRockAreaCodes,13
MerryChrismas,13
BBNaijia,13
blackhairchallenge,13
Queen,13
American,13
bobrisky,13
lgbtsupport,13
GRAMMYAwards2020,13
USA,13
TrumpIsADisgrace,13
mentalhealth,13
2pac,13
RIPKobeBryant,13
HIV,13
ryancoogler,13
Gay,12
AfroNationPortugal,12
UNFPA,12
MissUniverse2019,12
WhiteSupremacist,12
BlackSwan,12
photography,12
Blackhawks,12
BlueWave,12
womenempowerment,12
malcolmx,12
QueerLivesMatterToo,12
FridaysForFuture,12
SayNoToXenophobiaAttacks,12
nonbinary,12
BlackLivesMatters,12
FridayLituations,12
cyntoiabrown,12
AfricanHistoryClass,12
LGBTQ2020,12
JummahMubarak,12
CONCERN,12
notoracism,12
LGBTQIA,12
art,12
PrideMonth,12
USOpen,12
BBNajia2019,12
selfcare,12
Dorian,12
Supergirl,12
DaybreakHitz,12
staywoke,12
ImpeachmentHearing,12
StopXenophobia,12
funny,12
IranAttacks,12
breastcancerawareness,12
PapasChristmas,12
12DaysOfChristmas,12
blm,12
12Days,12
MalcolmX,11
BorisJohnson,11
AFCON2019,11
motivation,11
BossItUp,11
SM4LYF,11
lesbians,11
PoliceBrutalitiy,11
Odessa,11
DemDebate2,11
letsrelate,11
StopPromotingHate,11
WeAreHOT,11
RevolutionNow,11
GunControlNow,11
AvengersEndgame,11
quote,11
Unity,11
ShattaWeiser,11
lgbtpride,11
happy,11
TheGift,11
blackgirlrocks,11
blackout,11
ENDviolence,11
February2020,11
BlackNotDemocrat,11
racists,11
kids,11
SundayFunday,11
theshaderoom,11
Cops,11
NoRoomForRacism,11
challenge,11
worldwar3,11
MichelleObama,11
HongKongPolice,11
Rainbow,11
Australia,11
AmberGuygerTrial,11
TheVoice,11
melaninpoppin,11
Blacklivesmatter,10
BlackFridayMe,10
16Days,10
LoseYouToLoveMe,10
100mostbeautifulfaces2019,10
ICEraids,10
TylerPerry,10
TylerPerryStudios,10
CoronavirusOutbreak,10
government,10
puredrive,10
talent,10
UnitedNations,10
Coronavirus,10
GlazersOut,10
