users_filename,accounts,account_languages,total_follower_count,total_following_count,users_information_size,entry_date,release_date,attributed_country,affiliation,target_countries,tweet_media_size,description,urls,tweets_filename,total_quote_count,total_reply_count,total_like_count,total_retweet_count,tweets_count,hashtags,hashtags_filename,domains,domains_filename,georeverse_codes,tweet_languages,tweet_client_names,tweet_client_names_filename,first_tweet,last_tweet,activity_timeline,tweets_information_size
egypt_022020_users_csv_hashed.csv,2541,"{""en"":1831,""ar"":644,""en-gb"":46,""fr"":10,""id"":2,""bg"":1,""en-GB"":1,""fil"":1,""mk"":1,""ms"":1,""pl"":1,""tr"":1}",14516172,5972832,579554,02/04/2020,2020_04,,,,,,,egypt_022020_tweets_csv_hashed.csv,102426.0,618398.0,3311080.0,3548343.0,7935329,"{""\u0627\u0644\u064a\u0645\u0646_\u0627\u0644\u0639\u0631\u0628\u064a"":153658,""\u0633\u0645\u064a\u0631\u0629_\u0633\u0639\u064a\u062f"":142544,""\u0639\u0627\u062c\u0644"":102489,""\ufdfa"":92292,""\u062a\u0646\u0638\u064a\u0645_\u0627\u0644\u062d\u0645\u062f\u064a\u0646"":82170,""\u0642\u0637\u0631_\u062a\u0645\u0648\u0644_\u0627\u0644\u0625\u0631\u0647\u0627\u0628"":77049,""\u0645\u062d\u0645\u062f_\u0634\u0627\u0647\u064a\u0646"":70341,""Quran"":70074,""\u0642\u0637\u0631_\u062a\u062f\u0639\u0645_\u0627\u0644\u0625\u0631\u0647\u0627\u0628"":67362,""\u0627\u0644\u062f\u0633\u062a\u0648\u0631"":60183,""\u0645\u0635\u0631"":57057,""Hadith"":55893,""\u0642\u0637\u0631"":52146,""\u0627\u0646\u062a\u0641\u0627\u0636\u0647_\u0627\u0644\u0634\u0639\u0628_\u0627\u0644\u0627\u064a\u0631\u0627\u0646\u064a"":43232,""\u0627\u0644\u0645\u0634\u0647\u062f_\u0627\u0644\u0639\u0631\u0628\u064a"":41570,""\u0646\u0634\u0631_\u0633\u064a\u0631\u062a\u0647"":39099,""\u0627\u0644\u0633\u0639\u0648\u062f\u064a\u0629"":36309,""\u0625\u064a\u0631\u0627\u0646"":35119,""\u0627\u0644\u064a\u0645\u0646"":33594,""\u0627\u0644\u0633\u064a\u0633\u064a"":32475,""\u0628\u0644\u062f\u0646\u0627_\u0627\u0644\u064a\u0648\u0645"":32050,""\u0627\u0644\u0625\u0645\u0627\u0631\u0627\u062a"":30608,""\u0627\u0644\u0641\u062c\u0631"":27079,""\u062c\u0628\u0647\u0629_\u0634\u0639\u0628_\u0645\u0635\u0631"":26581,""\u062c\u0631\u064a\u062f\u0629_\u0627\u0644\u0632\u0645\u0627\u0646"":26086}",2020_04_egypt_022020_tweets_hashtags.csv,"{""du3a.org"":776961,""bit.ly"":544486,""goo.gl"":231600,""fb.me"":131964,""youtu.be"":123468,""twitter.com"":123195,""almashhadalaraby.com"":70487,""dostor.org"":64142,""elfagr.org"":59526,""alyamanalaraby.com"":59198,""zad-muslim.com"":52046,""ghared.com"":39427,""youtube.com"":34801,""instagram.com"":33806,""dlvr.it"":26490,""d3waapp.org"":22763,""1aletihad.com"":20919,""almashhadalyemeni.net"":20678,""knzmuslim.com"":16607,""twitpic.com"":13268,""baladnaelyoum.com"":13240,""athantweets.com"":10776,""ahram.org.eg"":10533,""elbalad.news"":9955,""ow.ly"":9836}",2020_04_egypt_022020_tweets_domains.csv,{},"{""ar"":6679970,""und"":545567,""en"":246502,""fr"":27988,""fa"":18570,""ru"":17806,""es"":12978,""in"":5225,""bg"":4703,""ckb"":4532,""hi"":4251,""tr"":3705,""tl"":2577,""it"":2406,""ja"":2051,""pt"":2043,""ur"":1959,""ko"":1900,""de"":1880,""vi"":1685,""et"":1313,""ca"":1199,""pl"":1113,""ht"":1100,""sr"":1009,""zh"":934,""ro"":864,""nl"":710,""uk"":673,""sv"":662,""da"":646,""th"":610,""id"":594,""no"":581,""cs"":555,""fi"":471,""cy"":373,""sk"":363,""sl"":339,""hu"":280,""lt"":277,""eu"":183,""is"":166,""lv"":116,""sd"":104,""el"":91,""iw"":72,""bs"":55,""iu"":52,""hr"":38,""ne"":23,""mr"":14,""ps"":10,""ka"":8,""bo"":8,""ta"":7,""am"":5,""te"":3,""or"":3,""ug"":3,""kn"":3,""si"":2,""pa"":2,""ml"":2,""hy"":2,""he"":2,""km"":2}","{""Twitter for Android"":2063203,""Twitter Web Client"":1473845,""Twitter for iPhone"":1033223,""erased13263733"":632063,""TweetDeck"":377077,""\u0627\u0644\u0642\u0641\u064a\u062f\u064a"":278956,""oauth:6526060"":232599,""Twitter Web App"":226746,"" \u062a\u0648\u064a\u062a \u0642\u0631\u0622\u0646"":225186,""twitterfeed"":201059,""Facebook"":142707,""web"":138222,""oauth:7146265"":107056,""\u062a\u0648\u064a\u062a\u0627\u062a"":55898,""Google"":53525,""\u062a\u0637\u0628\u064a\u0642 \u0632\u0627\u062f \u0627\u0644\u0645\u0633\u0644\u0645"":51996,""\u0627\u0633\u062f \u0631\u064a\u062a\u0648\u064a\u0632"":51258,""\u062a\u0637\u0628\u064a\u0640\u0640\u0642 \u062f\u0639\u0640\u0640\u0640\u0627\u0621"":48432,""Mezgal"":41109,""Mobile Web (M2)"":39542,""\u063a\u0631\u062f \u0628\u0635\u062f\u0642\u0629"":39443,""erased9327737"":23512,""Hootsuite"":22077,""Twitter for Android Tablets"":21266,""\u062f\u0631\u0631 \u0627\u0644\u0633\u0644\u0641"":21232}",2020_04_egypt_022020_tweets_clients.csv,2009-02-27 17:46:00,2020-01-29 19:20:00,"{""2009-02"": 2, ""2009-03"": 3, ""2009-07"": 1, ""2009-08"": 3, ""2009-09"": 1, ""2009-10"": 2, ""2009-11"": 1, ""2009-12"": 7, ""2010-03"": 9, ""2010-04"": 7, ""2010-05"": 1, ""2010-06"": 1, ""2010-08"": 1, ""2010-09"": 44, ""2010-10"": 97, ""2010-11"": 139, ""2010-12"": 154, ""2011-01"": 53, ""2011-02"": 137, ""2011-03"": 1243, ""2011-04"": 1739, ""2011-05"": 2479, ""2011-06"": 3762, ""2011-07"": 5884, ""2011-08"": 7521, ""2011-09"": 7518, ""2011-10"": 4684, ""2011-11"": 9141, ""2011-12"": 11095, ""2012-01"": 16264, ""2012-02"": 13502, ""2012-03"": 9854, ""2012-04"": 13871, ""2012-05"": 16547, ""2012-06"": 19137, ""2012-07"": 22020, ""2012-08"": 21494, ""2012-09"": 25809, ""2012-10"": 33479, ""2012-11"": 24052, ""2012-12"": 39159, ""2013-01"": 27922, ""2013-02"": 22230, ""2013-03"": 27745, ""2013-04"": 31625, ""2013-05"": 30354, ""2013-06"": 25166, ""2013-07"": 30465, ""2013-08"": 33561, ""2013-09"": 28280, ""2013-10"": 25550, ""2013-11"": 27134, ""2013-12"": 30665, ""2014-01"": 30543, ""2014-02"": 23221, ""2014-03"": 31526, ""2014-04"": 39368, ""2014-05"": 25827, ""2014-06"": 21318, ""2014-07"": 29085, ""2014-08"": 112769, ""2014-09"": 151180, ""2014-10"": 20002, ""2014-11"": 30939, ""2014-12"": 40798, ""2015-01"": 144406, ""2015-02"": 180990, ""2015-03"": 81986, ""2015-04"": 114022, ""2015-05"": 64243, ""2015-06"": 72898, ""2015-07"": 52053, ""2015-08"": 42516, ""2015-09"": 51060, ""2015-10"": 40000, ""2015-11"": 34567, ""2015-12"": 48298, ""2016-01"": 47464, ""2016-02"": 58662, ""2016-03"": 68755, ""2016-04"": 70853, ""2016-05"": 69340, ""2016-06"": 63640, ""2016-07"": 72627, ""2016-08"": 81570, ""2016-09"": 84259, ""2016-10"": 100868, ""2016-11"": 100903, ""2016-12"": 122159, ""2017-01"": 107380, ""2017-02"": 115821, ""2017-03"": 216493, ""2017-04"": 233176, ""2017-05"": 232882, ""2017-06"": 217143, ""2017-07"": 228709, ""2017-08"": 221555, ""2017-09"": 90739, ""2017-10"": 160491, ""2017-11"": 168166, ""2017-12"": 143159, ""2018-01"": 148156, ""2018-02"": 155564, ""2018-03"": 139174, ""2018-04"": 126228, ""2018-05"": 112829, ""2018-06"": 103999, ""2018-07"": 125101, ""2018-08"": 154099, ""2018-09"": 131354, ""2018-10"": 129222, ""2018-11"": 88018, ""2018-12"": 88850, ""2019-01"": 67093, ""2019-02"": 73079, ""2019-03"": 95678, ""2019-04"": 112279, ""2019-05"": 122642, ""2019-06"": 142005, ""2019-07"": 236525, ""2019-08"": 142110, ""2019-09"": 208538, ""2019-10"": 20371, ""2019-11"": 141, ""2019-12"": 31, ""2020-01"": 200}",4819550296
honduras_022020_users_csv_hashed.csv,3104,"{""en"":2213,""es"":891}",245665,175903,601214,02/04/2020,2020_04,,,,,,,honduras_022020_tweets_csv_hashed.csv,28674.0,126375.0,813814.0,590406.0,1165019,"{""LaNuevaHonduras"":25414,""HondurasAvanza"":20241,""Honduras"":18197,""VidaMejor"":13353,""NoticiasTNH"":8020,""RostrosDeBarrio"":6436,""SPS"":5572,""NavidadCatracha"":4399,""ManosALaObra"":4091,""SIGUEMEYTESIGO"":3881,""DeportesTNH"":3474,""HondurasAct\u00edvate"":3262,""YoApoyoElSIHCIC"":2738,""HondurasActivate"":2705,""TeApoyamosJOH"":2693,""AlivioDeDeuda"":2636,""ParqueVidaMejor"":2531,""RT"":2204,""QueCoolEsHonduras"":2154,""EEUU"":2005,""TNHCanal8"":1972,""VivaJOH"":1886,""CopaPresidente"":1837,""NoticiasRNH"":1790,""CallejaPresidente"":1779}",2020_04_honduras_022020_tweets_hashtags.csv,"{""fb.me"":30166,""twitter.com"":25993,""bit.ly"":19222,""ow.ly"":15360,""qhubochano.com"":6776,""youtu.be"":6325,""goo.gl"":5636,""pscp.tv"":4852,""cnn.it"":4728,""facebook.com"":4637,""rt.com"":3961,""infob.ae"":3909,""bbc.in"":3786,""owl.li"":3578,""instagram.com"":3100,""paper.li"":2849,""ln.is"":2661,""ift.tt"":2001,""youtube.com"":1979,""latribuna.hn"":1735,""tnh.gob.hn"":1649,""wordpress.com"":1572,""ver.as"":1503,""ask.fm"":1338,""laprensa.hn"":1220}",2020_04_honduras_022020_tweets_domains.csv,{},"{""es"":977820,""en"":52883,""und"":46033,""pt"":6789,""ko"":3600,""it"":3066,""in"":2823,""tl"":2175,""fr"":1774,""et"":1763,""ca"":1105,""vi"":976,""nl"":863,""de"":724,""ht"":706,""ja"":634,""tr"":590,""id"":532,""eu"":507,""pl"":504,""lt"":468,""cy"":361,""fi"":336,""sk"":320,""hu"":303,""ro"":276,""lv"":267,""sv"":246,""cs"":213,""sl"":205,""da"":168,""is"":146,""no"":128,""hi"":120,""ar"":24,""zh"":24,""th"":17,""hr"":15,""bs"":14,""ru"":8,""bg"":5,""ta"":4,""iu"":3,""iw"":2,""bn"":1}","{""TweetDeck"":430296,""Twitter for Android"":283735,""Twitter for iPhone"":153256,""Twitter Web Client"":80850,""web"":38289,""Facebook"":32873,""Twitter for BlackBerry\u00ae"":31977,""Twitter for iPad"":27912,""Hootsuite"":27777,""Twitter Web App"":21668,""Twitter for  Android"":4374,""Hootsuite Inc."":4041,""Instagram"":3157,""Paper.li"":2801,""IFTTT"":2374,""Linkis: turn sharing into growth"":2213,""UberSocial for BlackBerry"":1499,""tweetbutton"":1494,""Google"":1376,""blipea"":1341,""Ask.fm"":1252,""erased138961"":1237,""Mobile Web"":932,""erased994719"":841,""Crowdfire Inc."":757}",2020_04_honduras_022020_tweets_clients.csv,2009-07-02 19:56:00,2020-01-08 23:39:00,"{""2009-07"": 1, ""2009-08"": 3, ""2009-09"": 2, ""2009-10"": 325, ""2009-11"": 314, ""2009-12"": 166, ""2010-01"": 262, ""2010-02"": 102, ""2010-03"": 124, ""2010-04"": 216, ""2010-05"": 229, ""2010-06"": 117, ""2010-07"": 269, ""2010-08"": 400, ""2010-09"": 409, ""2010-10"": 392, ""2010-11"": 968, ""2010-12"": 529, ""2011-01"": 292, ""2011-02"": 398, ""2011-03"": 293, ""2011-04"": 261, ""2011-05"": 707, ""2011-06"": 1801, ""2011-07"": 2552, ""2011-08"": 1650, ""2011-09"": 1049, ""2011-10"": 1281, ""2011-11"": 1288, ""2011-12"": 1712, ""2012-01"": 1110, ""2012-02"": 1076, ""2012-03"": 1132, ""2012-04"": 1879, ""2012-05"": 2422, ""2012-06"": 2079, ""2012-07"": 2726, ""2012-08"": 3471, ""2012-09"": 2180, ""2012-10"": 2728, ""2012-11"": 2746, ""2012-12"": 2796, ""2013-01"": 4461, ""2013-02"": 3159, ""2013-03"": 4609, ""2013-04"": 6834, ""2013-05"": 4948, ""2013-06"": 5416, ""2013-07"": 8835, ""2013-08"": 9345, ""2013-09"": 6604, ""2013-10"": 7111, ""2013-11"": 9242, ""2013-12"": 5091, ""2014-01"": 5807, ""2014-02"": 6018, ""2014-03"": 6534, ""2014-04"": 5838, ""2014-05"": 5331, ""2014-06"": 4333, ""2014-07"": 4195, ""2014-08"": 4312, ""2014-09"": 4212, ""2014-10"": 4605, ""2014-11"": 4268, ""2014-12"": 4643, ""2015-01"": 5777, ""2015-02"": 7495, ""2015-03"": 8145, ""2015-04"": 8931, ""2015-05"": 9777, ""2015-06"": 13780, ""2015-07"": 16554, ""2015-08"": 19026, ""2015-09"": 17798, ""2015-10"": 14396, ""2015-11"": 13242, ""2015-12"": 10351, ""2016-01"": 10715, ""2016-02"": 13390, ""2016-03"": 11936, ""2016-04"": 10811, ""2016-05"": 10355, ""2016-06"": 10553, ""2016-07"": 11491, ""2016-08"": 10212, ""2016-09"": 8538, ""2016-10"": 8126, ""2016-11"": 7265, ""2016-12"": 6299, ""2017-01"": 6708, ""2017-02"": 5414, ""2017-03"": 9609, ""2017-04"": 7792, ""2017-05"": 13463, ""2017-06"": 11774, ""2017-07"": 11382, ""2017-08"": 11385, ""2017-09"": 10583, ""2017-10"": 10137, ""2017-11"": 13094, ""2017-12"": 22323, ""2018-01"": 28495, ""2018-02"": 20551, ""2018-03"": 23960, ""2018-04"": 18436, ""2018-05"": 17004, ""2018-06"": 23628, ""2018-07"": 22522, ""2018-08"": 21181, ""2018-09"": 21879, ""2018-10"": 18304, ""2018-11"": 17628, ""2018-12"": 12328, ""2019-01"": 16485, ""2019-02"": 18731, ""2019-03"": 16489, ""2019-04"": 14722, ""2019-05"": 21564, ""2019-06"": 17278, ""2019-07"": 32493, ""2019-08"": 47562, ""2019-09"": 51026, ""2019-10"": 39335, ""2019-11"": 38635, ""2019-12"": 21937, ""2020-01"": 4011}",629703846
indonesia_022020_users_csv_hashed.csv,795,"{""en"":524,""id"":268,""de"":1,""en-gb"":1,""zh-cn"":1}",787772,369690,171152,02/04/2020,2020_04,,,,,,,indonesia_022020_tweets_csv_hashed.csv,85123.0,453190.0,163985.0,142399.0,2700296,"{""freewestpapua"":249523,""westpapua"":242871,""fwpc"":242678,""letwestpapuavote"":226704,""papuawest"":153002,""infowestpapua"":146649,""westpapuanid"":145680,""openfollow"":101259,""2019TetapJokowi"":100583,""Jokowi2Periode"":98226,""2019GantiPresiden"":76511,""LawanGerakanSeparatis"":63489,""KabehSedulurKabehMakmur"":53269,""GusIpulMbakPuti"":49277,""GusIpulPutiMenang"":45625,""Jatim2KabehSedulur"":39683,""iwartaid"":32309,""Pilpres2019"":30851,""JokowiLagi"":22996,""globalflagraising"":21301,""2019JokowiMaruf"":20189,""westpapuaindo"":19482,""2019JokowiMarufAmin"":14620,""pltl"":14533,""AfterBismillah"":12940}",2020_04_indonesia_022020_tweets_hashtags.csv,"{""bit.ly"":229710,""twitter.com"":193153,""favstar.fm"":91913,""dlvr.it"":56273,""xbx.lv"":13729,""youtu.be"":3366,""telkomsel.com"":3265,""sinaimg.cn"":2913,""tistory.com"":2833,""youtube.com"":2780,""instagram.com"":2609,""tsel.me"":2242,""goo.gl"":2137,""twimg.com"":1957,""kompas.com"":1342,""papuawest.com"":1329,""ask.fm"":1292,""ift.tt"":1286,""imgur.com"":1271,""zpr.io"":1236,""staticflickr.com"":1183,""infowestpapua.com"":1128,""kom.ps"":973,""westpapuan.org"":927,""buff.ly"":853}",2020_04_indonesia_022020_tweets_domains.csv,{},"{""in"":1481267,""en"":555997,""und"":236342,""id"":59881,""tl"":50626,""es"":24802,""ko"":24139,""de"":13791,""et"":7378,""ja"":6727,""tr"":6524,""ht"":6124,""fr"":4233,""vi"":3691,""nl"":3683,""pt"":3597,""pl"":3185,""no"":2688,""sv"":2647,""it"":2614,""hi"":1720,""fi"":1719,""hu"":1469,""sl"":1417,""cy"":1414,""eu"":1288,""ar"":1260,""lv"":1190,""is"":1175,""da"":1172,""lt"":1073,""ro"":944,""sk"":620,""cs"":615,""th"":506,""zh"":432,""ca"":153,""bs"":117,""hr"":104,""ru"":29,""el"":25,""bg"":14,""uk"":11,""ka"":2,""ur"":2,""km"":1}","{""Twitter for Android"":664760,""IFTTT"":462936,""twittbot.net"":436573,""twitcle"":208361,""twitterfeed"":140749,""TweetDeck"":126024,""Twitter Web Client"":97724,""Twitter for iPhone"":96474,""web"":73429,""Zapier.com"":67832,""Microsoft Power Platform"":59150,""dlvr.it"":55612,""TweetCaster for Android"":40589,""Mobile Web (M2)"":37767,""Twitter for BlackBerry\u00ae"":27011,""Twitter Web App"":18081,""UberSocial for BlackBerry"":14253,""Twitter for Android Tablets"":7665,""Write Longer"":5646,""Ask.fm"":4952,""Twitter for iPad"":4495,""afifghaffar.my.id"":4090,""Mobile Web"":3685,""Plume\u00a0for\u00a0Android"":3349,""Twitter for  Android"":3119}",2020_04_indonesia_022020_tweets_clients.csv,2009-02-27 17:41:00,2020-01-31 15:17:00,"{""2009-02"": 1, ""2009-06"": 1, ""2009-07"": 1, ""2009-08"": 9, ""2009-09"": 27, ""2009-10"": 56, ""2009-11"": 97, ""2009-12"": 145, ""2010-01"": 164, ""2010-02"": 159, ""2010-03"": 600, ""2010-04"": 350, ""2010-05"": 287, ""2010-06"": 474, ""2010-07"": 547, ""2010-08"": 557, ""2010-09"": 659, ""2010-10"": 691, ""2010-11"": 628, ""2010-12"": 692, ""2011-01"": 633, ""2011-02"": 593, ""2011-03"": 1228, ""2011-04"": 1381, ""2011-05"": 1646, ""2011-06"": 1792, ""2011-07"": 1738, ""2011-08"": 2878, ""2011-09"": 1297, ""2011-10"": 1686, ""2011-11"": 2739, ""2011-12"": 2374, ""2012-01"": 2070, ""2012-02"": 917, ""2012-03"": 1645, ""2012-04"": 3035, ""2012-05"": 3203, ""2012-06"": 3403, ""2012-07"": 3825, ""2012-08"": 2976, ""2012-09"": 2152, ""2012-10"": 2996, ""2012-11"": 2771, ""2012-12"": 6231, ""2013-01"": 5882, ""2013-02"": 9224, ""2013-03"": 15681, ""2013-04"": 12775, ""2013-05"": 12408, ""2013-06"": 15909, ""2013-07"": 11648, ""2013-08"": 9224, ""2013-09"": 5855, ""2013-10"": 11553, ""2013-11"": 19915, ""2013-12"": 25186, ""2014-01"": 14566, ""2014-02"": 8626, ""2014-03"": 18130, ""2014-04"": 19172, ""2014-05"": 7628, ""2014-06"": 23190, ""2014-07"": 81299, ""2014-08"": 58069, ""2014-09"": 9750, ""2014-10"": 13360, ""2014-11"": 14787, ""2014-12"": 19664, ""2015-01"": 5045, ""2015-02"": 10341, ""2015-03"": 24946, ""2015-04"": 29445, ""2015-05"": 28547, ""2015-06"": 18111, ""2015-07"": 16499, ""2015-08"": 67493, ""2015-09"": 80895, ""2015-10"": 58084, ""2015-11"": 41693, ""2015-12"": 12811, ""2016-01"": 16798, ""2016-02"": 16736, ""2016-03"": 17814, ""2016-04"": 15464, ""2016-05"": 19325, ""2016-06"": 27514, ""2016-07"": 17547, ""2016-08"": 12914, ""2016-09"": 10438, ""2016-10"": 7925, ""2016-11"": 8046, ""2016-12"": 47483, ""2017-01"": 67411, ""2017-02"": 41670, ""2017-03"": 78949, ""2017-04"": 75228, ""2017-05"": 76034, ""2017-06"": 70198, ""2017-07"": 34160, ""2017-08"": 75135, ""2017-09"": 42886, ""2017-10"": 41927, ""2017-11"": 27167, ""2017-12"": 24357, ""2018-01"": 25680, ""2018-02"": 23042, ""2018-03"": 35539, ""2018-04"": 58032, ""2018-05"": 57060, ""2018-06"": 44745, ""2018-07"": 25112, ""2018-08"": 27125, ""2018-09"": 48930, ""2018-10"": 58900, ""2018-11"": 56817, ""2018-12"": 69816, ""2019-01"": 77174, ""2019-02"": 74995, ""2019-03"": 47233, ""2019-04"": 22127, ""2019-05"": 21073, ""2019-06"": 19372, ""2019-07"": 34783, ""2019-08"": 32282, ""2019-09"": 68282, ""2019-10"": 89, ""2019-11"": 29, ""2019-12"": 60, ""2020-01"": 108}",1264286441
